group,x,bin,isknot,mid,fit,cohort
ARG,46.42857142857142,7,0,0,62.65460895935233,Before 1950s
ARG,46.71428571428571,7,0,0,62.8884163329593,Before 1950s
ARG,46.99999999999999,7,1,0,63.12222370656628,Before 1950s
ARG,47.33333333333333,8,0,0,63.39499897577442,Before 1950s
ARG,47.666666666666664,8,0,0,63.66777424498257,Before 1950s
ARG,48,8,0,0,63.94054951419071,Before 1950s
ARG,48.333333333333336,8,0,0,64.21332478339885,Before 1950s
ARG,48.66666666666667,8,0,0,64.48610005260699,Before 1950s
ARG,49.00000000000001,8,0,0,64.75887532181514,Before 1950s
ARG,49.33333333333334,8,0,0,65.03165059102326,Before 1950s
ARG,49.66666666666668,8,0,0,65.30442586023142,Before 1950s
ARG,50.000000000000014,8,0,0,65.57720112943956,Before 1950s
ARG,50.33333333333335,8,0,1,65.8499763986477,Before 1950s
ARG,50.666666666666686,8,0,0,66.12275166785585,Before 1950s
ARG,51.00000000000002,8,0,0,66.39552693706398,Before 1950s
ARG,51.33333333333336,8,0,0,66.66830220627213,Before 1950s
ARG,51.66666666666669,8,0,0,66.94107747548026,Before 1950s
ARG,52.00000000000003,8,0,0,67.21385274468841,Before 1950s
ARG,52.333333333333364,8,0,0,67.48662801389655,Before 1950s
ARG,52.6666666666667,8,0,0,67.75940328310469,Before 1950s
ARG,53.000000000000036,8,0,0,68.03217855231284,Before 1950s
ARG,53.33333333333337,8,0,0,68.30495382152097,Before 1950s
ARG,53.66666666666671,8,0,0,68.57772909072912,Before 1950s
ARG,54.00000000000004,8,1,0,68.85050435993726,Before 1950s
ARG,54.28571428571433,9,0,0,69.08431173354424,Before 1950s
ARG,54.57142857142861,9,0,0,69.3181191071512,Before 1950s
ARG,54.8571428571429,9,0,0,69.5519264807582,Before 1950s
ARG,55.14285714285718,9,0,0,69.78573385436516,Before 1950s
ARG,55.428571428571466,9,0,0,70.01954122797214,Before 1950s
ARG,55.71428571428575,9,0,0,70.25334860157912,Before 1950s
ARG,56.000000000000036,9,0,0,70.48715597518608,Before 1950s
ARG,56.28571428571432,9,0,0,70.72096334879308,Before 1950s
ARG,56.571428571428605,9,0,0,70.95477072240004,Before 1950s
ARG,56.85714285714289,9,0,1,71.18857809600702,Before 1950s
ARG,57.142857142857174,9,0,0,71.422385469614,Before 1950s
ARG,57.42857142857146,9,0,0,71.65619284322096,Before 1950s
ARG,57.714285714285744,9,0,0,71.89000021682796,Before 1950s
ARG,58.00000000000003,9,0,0,72.12380759043492,Before 1950s
ARG,58.28571428571431,9,0,0,72.3576149640419,Before 1950s
ARG,58.5714285714286,9,0,0,72.59142233764888,Before 1950s
ARG,58.85714285714288,9,0,0,72.82522971125584,Before 1950s
ARG,59.14285714285717,9,0,0,73.05903708486284,Before 1950s
ARG,59.42857142857145,9,0,0,73.2928444584698,Before 1950s
ARG,59.71428571428574,9,0,0,73.52665183207678,Before 1950s
ARG,60.00000000000002,9,1,0,73.76045920568376,Before 1950s
ARG,60.285714285714306,10,0,0,73.99426657929074,Before 1950s
ARG,60.57142857142859,10,0,0,74.22807395289772,Before 1950s
ARG,60.857142857142875,10,0,0,74.46188132650468,Before 1950s
ARG,61.14285714285716,10,0,0,74.69568870011166,Before 1950s
ARG,61.428571428571445,10,0,0,74.92949607371864,Before 1950s
ARG,61.71428571428573,10,0,0,75.16330344732562,Before 1950s
ARG,62.000000000000014,10,0,0,75.3971108209326,Before 1950s
ARG,62.2857142857143,10,0,0,75.63091819453956,Before 1950s
ARG,62.571428571428584,10,0,0,75.86472556814655,Before 1950s
ARG,62.85714285714287,10,0,1,76.09853294175352,Before 1950s
ARG,63.14285714285715,10,0,0,76.3323403153605,Before 1950s
ARG,63.42857142857144,10,0,0,76.56614768896748,Before 1950s
ARG,63.71428571428572,10,0,0,76.79995506257444,Before 1950s
ARG,64.00000000000001,10,0,0,77.03376243618143,Before 1950s
ARG,64.2857142857143,10,0,0,77.26756980978841,Before 1950s
ARG,64.5714285714286,10,0,0,77.50137718339539,Before 1950s
ARG,64.85714285714289,10,0,0,77.73518455700238,Before 1950s
ARG,65.14285714285718,10,0,0,77.96899193060935,Before 1950s
ARG,65.42857142857147,10,0,0,78.20279930421634,Before 1950s
ARG,65.71428571428577,10,0,0,78.43660667782332,Before 1950s
ARG,1.3333333333333333,1,0,0,28.154544651507695,1950s
ARG,1.6666666666666665,1,0,0,28.39257670053754,1950s
ARG,1.9999999999999998,1,0,0,28.630608749567386,1950s
ARG,2.333333333333333,1,0,0,28.86864079859723,1950s
ARG,2.6666666666666665,1,0,0,29.106672847627078,1950s
ARG,3,1,0,0,29.344704896656925,1950s
ARG,3.3333333333333335,1,0,0,29.58273694568677,1950s
ARG,3.666666666666667,1,0,0,29.820768994716616,1950s
ARG,4,1,0,0,30.058801043746463,1950s
ARG,4.333333333333333,1,0,1,30.296833092776307,1950s
