colorr,epct05,epct25,epct50,epct75,epct95,boot
5,12.781479866049807,21.200649347831106,31.72461120005773,42.24857305228436,50.66774253406565,8
6,10.58515270941787,19.16607490639578,29.89222765261817,40.61838039884056,49.199302595818466,8
7,6.988475089821188,15.882823112179857,27.00075814012819,38.11869316807653,47.0130411904352,8
8,8.598996004741482,18.93790033360132,31.861530744676116,44.78516115575092,55.12406548461076,8
9,6.050561912131608,15.429942144550763,27.154167435074708,38.87839272559866,48.25777295801781,8
1,20.55801582533825,31.248609557660135,44.61185172306249,57.975093888464855,68.66568762078674,9
2,18.017975861761588,25.421414803981097,34.67571348175548,43.930012159529866,51.333451101749375,9
3,17.153841028187365,24.885631477813316,34.550369539845754,44.21510760187819,51.94689805150414,9
4,13.80632103903699,21.65553191436819,31.467045508532195,41.2785591026962,49.1277699780274,9
5,10.528863441205282,18.586344612386945,28.658196076364028,38.73004754034111,46.78752871152278,9
6,10.031663435259386,18.642254501891195,29.40549333518095,40.168732168470704,48.77932323510251,9
7,5.889583904838851,14.26643771748764,24.737504983298628,35.20857224910961,43.585426061758405,9
8,8.43621252624995,18.530367079378372,31.148060270788903,43.765753462199434,53.85990801532786,9
9,2.1150386050746004,11.034034837213332,22.182780127386746,33.33152541756016,42.25052164969889,9
1,20.784484124344274,30.012518267738535,41.54756094698136,53.082603626224184,62.31063776961844,10
2,18.54205163635086,26.433476014890452,36.29775648806495,46.16203696123944,54.053461339779034,10
3,18.805620620293162,27.2152411518882,37.727266816382,48.23929248087579,56.64891301247083,10
4,14.545049720485547,22.27732735244043,31.94267439238404,41.60802143232765,49.340299064282526,10
5,12.100249543361743,20.399429851121063,30.77340523582021,41.14738062051936,49.44656092827868,10
6,10.54349516531945,19.113728142105508,29.82651936308808,40.539310584070655,49.109543560856714,10
7,6.161842750873239,14.765648476116258,25.520405632670034,36.275162789223806,44.87896851446682,10
8,9.810468581330047,20.122536685851475,33.01262181650326,45.902706947155046,56.21477505167647,10
9,5.524767916373824,14.4029572300668,25.50069387218302,36.598430514299245,45.47661982799222,10
1,20.11716985977754,29.631608944965095,41.524657801449536,53.41770665793397,62.932145743121524,11
2,18.0385116203907,25.811981322047906,35.52881844911941,45.24565557619093,53.01912527784813,11
3,20.205307669715737,28.504457212938213,38.87839414196631,49.25233107099441,57.551480614216885,11
4,15.028123005641856,22.341302924070725,31.48277782210681,40.6242527201429,47.937432638571764,11
5,11.97139727730207,20.50737138014629,31.177339008701562,41.847306637256835,50.38328074010106,11
6,10.97469764529315,19.925710758044744,31.114477148984243,42.30324353992374,51.25425665267534,11
7,7.780056078930116,16.608872372758007,27.64489274004287,38.68091310732774,47.50972940115563,11
8,10.578381425087542,20.773731215991873,33.51791845462229,46.26210569325271,56.45745548415704,11
9,8.316948946856126,17.231306468299927,28.374253370104682,39.51720027190943,48.431557793353235,11
1,19.559621904795478,28.66395439858163,40.04437001581432,51.42478563304701,60.52911812683317,12
2,20.576330970274952,28.785930572644325,39.04793007560604,49.30992957856776,57.51952918093713,12
3,18.682170461824132,26.32220524381686,35.87224872130777,45.42229219879869,53.06232698079141,12
4,15.238551847973536,23.140297739861403,33.01748010472124,42.894662469581064,50.796408361468934,12
5,13.857232250191196,22.093739723510115,32.38937406515876,42.68500840680741,50.921515880126336,12
6,10.357324127882904,18.803397067489875,29.360988241998584,39.9185794165073,48.36465235611427,12
7,7.863513051047654,17.2745084803341,29.038252766942154,40.80199705355021,50.212992482836654,12
8,10.55432175040903,20.99702389147935,34.050401567817254,47.103779244155156,57.546481385225476,12
9,7.197861205932294,15.92804435927416,26.840773300951493,37.75350224262883,46.483685395970696,12
1,23.374526849483324,32.491320434053264,43.8873124147657,55.283304395478126,64.40009798004807,13
2,20.676294370066092,28.954553164572594,39.30237665770572,49.65020015083884,57.92845894534535,13
3,19.963622116118124,28.314659906823607,38.75345714520546,49.19225438358731,57.543292174292795,13
4,17.10050421550167,25.28681149699746,35.5196955988672,45.75257970073694,53.938886982232724,13
5,15.116660149860929,23.327391878543132,33.59080653939589,43.854221200248645,52.06495292893086,13
6,12.556124279587738,20.953153680671395,31.449440432025966,41.94572718338054,50.34275658446419,13
7,9.302413247777523,18.421807908807565,29.821051235095116,41.220294561382666,50.33968922241271,13
8,10.252563933626627,20.59145124172519,33.515060376848396,46.438669511971604,56.77755682007017,13
9,8.373449372658037,17.8776022444435,29.757793334175336,41.63798442390717,51.142137295692635,13
1,22.853301936246364,32.04293798110308,43.52998303717398,55.017028093244875,64.20666413810159,14
2,19.674975385295053,27.97898107212596,38.358988180664596,48.73899528920324,57.04300097603415,14
3,20.538462245980824,29.079772956749927,39.756411345211305,50.43304973367269,58.97436044444179,14
4,16.942205413807415,24.77173262541965,34.55864163993494,44.345550654450236,52.17507786606247,14
5,15.335638729000916,23.63988898481375,34.02020180457979,44.40051462434583,52.70476488015866,14
6,13.679892843753773,22.143027614508604,32.72194607795214,43.30086454139568,51.76399931215052,14
7,9.25588034669992,17.763538472086644,28.398111128820045,39.032683785553445,47.540341910940164,14
8,11.74107264018274,21.928495481745596,34.662774033699165,47.39705258565274,57.584475427215594,14
9,8.837750171225169,17.874304864731748,29.169998231614972,40.465691598498196,49.502246292004784,14
1,16.754210381577096,26.579708134345694,38.86158032530644,51.14345251626719,60.96895026903579,15
2,18.68606657927579,27.613881110505286,38.77364927454216,49.933417438579035,58.861231969808536,15
3,17.624764700525468,25.411527122270627,35.144980149452074,44.87843317663352,52.66519559837869,15
4,14.32010897937548,22.324580585103433,32.33017009226337,42.33575959942332,50.34023120515127,15
5,11.840875756972713,20.20835205346765,30.667697424086317,41.12704279470499,49.494519091199926,15
6,11.125504591792374,19.912006198441787,30.895133206753552,41.87826021506531,50.664761821714734,15
7,5.6601356286858,14.27675898058992,25.04753817047007,35.81831736035022,44.434940712254345,15
8,8.682526943895919,19.22745761018409,32.408620943044305,45.58978427590452,56.134714942192694,15
9,5.7865679946205795,15.198455341252739,26.963314524542938,38.728173707833136,48.14006105446529,15
1,23.16109312651639,31.983971214449408,43.01256882436568,54.04116643428195,62.86404452221497,16
2,22.451804962938734,30.794098700212423,41.22196587180454,51.649833043396654,59.99212678067035,16
3,21.34625015128961,29.071306527139416,38.72762699695167,48.38394746676393,56.10900384261373,16
4,17.32507908326449,24.96612539973937,34.517433295332964,44.068741190926566,51.709787507401444,16
5,15.325446985954514,23.60784891079541,33.96085131684653,44.31385372289765,52.59625564773854,16
6,12.861117538472557,21.44563495482314,32.176281725261376,42.9069284956996,51.491445912050196,16
7,9.033969059459814,18.11462143641115,29.465436907600314,40.81625237878948,49.896904755740806,16
8,12.111387694232299,22.65223397871002,35.828291834307166,49.004349689904316,59.54519597438204,16
9,10.03040348170444,19.21502361483244,30.695798781242445,42.17657394765244,51.36119408078044,16
1,17.63152153553258,26.514249727955214,37.61765996848351,48.7210702090118,57.60379840143443,17
2,18.0509214655159,26.886803990353833,37.93165714640125,48.976510302448666,57.8123928272866,17
3,18.17955820705255,26.46446313804176,36.82059430177827,47.17672546551479,55.461630396504006,17
4,14.113288268479758,22.073071325729885,32.02280014729254,41.97252896885521,49.932312026105336,17
5,12.258571869950426,20.753848214301254,31.372943644739788,41.992039075178326,50.48731541952915,17
6,11.050821081202038,19.639815289560964,30.376058050009622,41.11230081045828,49.701295018817206,17
7,6.196227795525573,14.830439145665757,25.62320333334099,36.41596752101621,45.0501788711564,17
8,9.212144260140757,19.846404609863008,33.13923004701582,46.432055484168636,57.06631583389088,17
9,6.9727247854578085,16.290042147135324,27.936688849232223,39.58333555132912,48.90065291300664,17
1,18.227681287194663,26.948570896457692,37.84968290803648,48.75079491961527,57.47168452887829,18
2,17.613689673630994,25.52905683360161,35.42326578356489,45.31747473352816,53.23284189349877,18
3,16.330358706065248,24.210694493258792,34.06111422725072,43.911533961242654,51.79186974843619,18
4,13.143883737784162,21.103080559552524,31.052076586762972,41.00107261397342,48.96026943574178,18
5,11.795348582833437,20.1471613559267,30.586927322293278,41.02669328865986,49.37850606175312,18
6,9.844882467826046,18.17850667671194,28.59553693781931,39.01256719892668,47.34619140781258,18
7,5.044933163511062,13.842654976314304,24.839807242318358,35.83695950832241,44.63468132112565,18
8,7.023679884779832,17.60398929962098,30.829376068172415,44.05476283672385,54.635072251565006,18
9,6.16896142152822,15.599544414108987,27.387773154834946,39.17600189556091,48.606584888141676,18
1,15.783415360438472,25.228886611656108,37.03572567567815,48.842564739700194,58.288035990917834,19
2,19.360461271814206,28.9038951359348,40.83318746608554,52.762479796236285,62.30591366035688,19
3,18.52962009654764,26.769948808403054,37.070359698222326,47.3707705880416,55.61109929989702,19
4,15.540449433077255,23.469919488546942,33.38175705788405,43.29359462722116,51.22306468269085,19
5,12.914453651233323,21.168203119336802,31.48538995446615,41.8025767895955,50.05632625769898,19
6,12.091612916212688,20.9011077323526,31.912976252527486,42.92484477270237,51.73433958884229,19
7,7.521685285205,16.20985736447323,27.070072463558517,37.930287562643805,46.61845964191204,19
8,9.566498779795095,19.842819692997956,32.688220834501536,45.53362197600511,55.809942889207974,19
9,8.199477721297068,17.649326418355184,29.46163728967783,41.27394816100047,50.72379685805859,19
1,21.205659240928984,30.761033825827976,42.705252056951714,54.64947028807545,64.20484487297443,20
2,18.455459846095724,26.31226909693176,36.13328066047681,45.954292224021856,53.81110147485789,20
3,19.396345582682933,27.87049328681274,38.463177916975,49.05586254713725,57.53001025126706,20
4,14.726495752475603,22.44733953434374,32.09839426167891,41.749448989014084,49.47029277088222,20
5,13.72919311250091,22.25835102466406,32.919798414868,43.58124580507193,52.11040371723509,20
