group,cohort,cohort_size,relative_rank,relative_rank_se,relative_country,relative_country_se,mean_country,ed,ed_mothed,abs_ed_im
CRI,1970s,662.4177305698395,0.5195794393056032,0.03671305669116793,0.5471071825049706,0.04261946310767482,4.600222140426651,9.077727952167415,5.026865671641791,0.7149253731343284
CRI,1980s,889.4369218945503,0.4912179107324876,0.03384821447598888,0.4761573346214736,0.03521195554305392,7.7502045466644685,10.094549499443826,6.602222222222221,0.6977777777777778
CRI,1990s,704.1673048138618,0.3723850301745677,0.037346456969224034,0.26262692098067186,0.027989042033021813,4.937571468347068,10.0070323488045,6.896067415730335,0.6713483146067416
DOM,Before 1950s,311.5754192471504,0.801010190943448,0.06439254256606046,0.9750616768702077,0.07461763113905441,5.684582928952321,5.762987012987014,1.9539682539682541,0.3904761904761905
DOM,1950s,350.14440011978144,0.46473067396251777,0.06750855042449685,0.6374103024580624,0.11499132892302157,11.659831370401548,7.478510028653295,2.265536723163842,0.5790960451977402
DOM,1960s,477.80321961641306,0.5635277616797382,0.05218374337437727,0.5966802665077092,0.05114787852759492,12.761537505472596,8.747390396659707,3.2567287784679086,0.6666666666666666
DOM,1970s,751.678804039955,0.5452617226331425,0.04286056491121733,0.5544941388164364,0.03563833780485148,9.693070047291293,10.399732620320856,4.021710526315792,0.7710526315789473
DOM,1980s,843.7239270806311,0.46147235824671595,0.03778459983708566,0.3554340026133025,0.025907105781946455,9.384729238489998,11.728894173602853,5.591441969519347,0.8640093786635404
DOM,1990s,781.2026743888855,0.4590564432481939,0.03238286244297701,0.19872892873340206,0.015507576619163115,6.310317692641894,11.617571059431523,7.368354430379747,0.7430379746835443
ECU,Before 1950s,211.99180364608765,0.7742725785371992,0.07283002291850435,0.8041953146943914,0.06909481992361896,5.930985511546588,7.798076923076924,3.4299065420560755,0.6682242990654206
ECU,1950s,354.663845539093,0.7870943195842559,0.054721131202946395,0.779523616139982,0.06345361960224864,8.122879820389603,9.237960339943342,4.098039215686277,0.7759103641456583
ECU,1960s,516.6381295323372,0.6025968381106535,0.051819354288216116,0.5711193187243483,0.04665139208694327,4.661073318922184,10.22986247544204,4.4721153846153845,0.8173076923076923
ECU,1970s,690.06470733881,0.612539789586165,0.04387414190555971,0.5593823462137857,0.03799533399639681,3.698091335514844,11.243478260869566,5.214388489208634,0.8618705035971223
ECU,1980s,815.7380207777023,0.6301915579706602,0.03995781867226433,0.4846099093223572,0.029822521991550124,8.986839412784274,12.201226993865028,6.290499390986602,0.879415347137637
ECU,1990s,760.4256035685539,0.4986503321577483,0.037617224366321325,0.27875824051388304,0.02511013112283133,5.935708845726,12.152031454783744,7.301556420233462,0.8223086900129701
GRE,Before 1950s,64.2430285215378,0.6055547540162757,0.24406912846627232,0.3354873328333203,0.2251393116470422,12.612654321513567,8,3.9069767441860463,0.813953488372093
GRE,1950s,79.18326771259309,0.6876785945252087,0.14574581161974468,0.5720767381244127,0.144989695350504,0.1330358383552001,10.377358490566039,5.235849056603774,0.8301886792452831
GRE,1960s,112.05179393291475,0.7317563139600972,0.13941604676591388,0.6373754442656407,0.14257293836538587,9.630206161117696,9.106666666666666,4.26,0.8666666666666667
GRE,1970s,200.19920516014102,0.8504675429854263,0.09639322789408769,0.5662673630176785,0.11048787922601469,8.499186076025262,10.880597014925375,5.824626865671643,0.8134328358208955
GRE,1980s,292.8286881446839,0.6366779979428426,0.07582837247105742,0.4629388060893875,0.0716832000587571,8.511734377812813,11.841836734693878,6.959183673469386,0.7908163265306123
GRE,1990s,291.33466422557836,0.7726837007024547,0.06212240565679357,0.3377847908850205,0.037488580011599985,7.591868420145059,12.184615384615384,7.987179487179487,0.7794871794871795
GTM,Before 1950s,222.50201922655103,0.7181061609390399,0.07891141292038108,0.9458658367791403,0.10812199692270281,8.143969917432669,4.094170403587444,1.2977777777777777,0.31555555555555553
GTM,1950s,294.14866650104517,0.6067625799377878,0.06611165513932205,0.9872381120812288,0.08785614497666902,-6.112319405328621,5.109589041095892,1.659395973154363,0.41946308724832215
GTM,1960s,516.8072870373725,0.7245956323732504,0.04426387295223316,1.0060215713803706,0.07067233710809091,2.278892147147815,5.63035019455253,1.6500956022944542,0.44933078393881454
GTM,1970s,741.1821116209029,0.7158991386973168,0.03562703022803908,0.8582118793816087,0.05005100808704724,4.083586453641922,6.542510121457486,2.0698138297872335,0.5531914893617021
GTM,1980s,910.4760581851004,0.6751533754506146,0.030615612536998453,0.7540224225698346,0.03427426365184059,4.83306673768732,8.393370165745852,2.8997833152762755,0.6998916576381365
GTM,1990s,732.8171980381011,0.4992345668091863,0.040255979269345224,0.3868686256178409,0.034437989353191575,4.081294634142986,9.390344827586208,3.9048257372654183,0.7265415549597856
GUY,Before 1950s,172.7580092549324,1.2336853200107876,0.11442793667616392,0.6292320512078783,0.08599409309012673,7.54031802215003,8.017045454545457,4.240223463687151,0.5579445364164779
GUY,1950s,290.2393841147423,0.6604147520496476,0.09273911355178645,0.41030667918452923,0.06398732024229076,6.104626420842605,9.08080808080808,4.8023255813953485,0.6541556197580556
GUY,1960s,372.97692638635635,0.8385716963721395,0.0878847633649979,0.4921211454545944,0.05649523964910005,2.587975952304912,8.883116883116884,5.31818181818182,0.6209334394602715
GUY,1970s,561.5560668110847,0.7995522854432587,0.06795800267706242,0.46893050157140265,0.04532679365296059,8.889472127979767,9.459412780656303,6.482817869415805,0.5668852638141036
GUY,1980s,586.8453360199928,0.7678191502781757,0.062443410459341736,0.4868071005645387,0.043863487884788076,7.986981836175068,10.323966942148763,7.379934210526317,0.5590392353623883
GUY,1990s,580.1236596107483,0.596763717218535,0.05587062151045928,0.22996398604935955,0.028777888658495464,9.128064214922881,10.826158940397352,7.8948675496688745,0.5294323045536995
